x1,y1,z1,x2,y2,z2
18.0,37.0,12.991914191419143,2.0,33.0,3.0783369022127047
6.0,38.0,14.203664717348925,12.0,36.0,7.522335600907027
2.0,36.0,42.473824130879336,12.0,31.0,10.665840561751342
18.0,34.0,19.18507818459191,3.0,34.0,6.564979050279329
18.0,37.0,84.47316160281812,4.0,31.0,8.60797847985348
18.0,36.0,90.71738322717617,4.0,34.0,10.040742066332621
18.0,31.0,15.248739782016337,8.0,30.0,7.855573488272003
16.0,35.0,4.966996315687415,5.0,30.0,17.425422297297303
18.0,36.0,85.5503131808279,7.0,33.0,10.407141287629091
4.0,32.0,17.30944359367024,1.0,37.0,16.038624910007186
18.0,32.0,11.290261356565024,15.0,31.0,4.301486545138888
16.0,40.0,25.896620046620065,13.0,37.0,13.497888386123678
18.0,35.0,10.178849462365593,11.0,30.0,12.029880865548263
18.0,37.0,26.66264052287581,2.0,37.0,3.2963222416812603
18.0,36.0,44.37989487516426,10.0,30.0,26.172603946441146
15.0,33.0,6.4381049960968,15.0,33.0,12.982534722222224
18.0,36.0,13.729222029655306,9.0,34.0,4.193881856540084
18.0,34.0,18.59055585536967,10.0,37.0,22.196511111111118
18.0,36.0,33.62083333333335,7.0,33.0,4.870965238982
18.0,39.0,31.510347181587694,12.0,37.0,29.95537732966697
5.0,36.0,6.350855887115428,11.0,30.0,4.232010582010581
18.0,42.0,65.84470319634701,11.0,31.0,2.3343180482069372
18.0,33.0,6.703662733529991,15.0,32.0,4.872217888715549
18.0,36.0,25.592175530750726,1.0,29.0,4.661122661122661
18.0,39.0,9.748454677452813,4.0,30.0,7.550098231827112
18.0,36.0,7.56902088258471,10.0,36.0,8.569669669669672
18.0,37.0,33.04715223097113,13.0,30.0,4.894044363415376
0.0,30.0,11.544887845592068,0.0,32.0,7.195852534562212
18.0,35.0,17.488904560413726,10.0,37.0,41.28156512605042
18.0,37.0,3.141448069950949,8.0,28.0,5.6140086206896544
18.0,38.0,3.1342621912602913,4.0,33.0,6.134780860474466
18.0,36.0,5.089376344086021,9.0,32.0,1.1899488304093568
18.0,36.0,7.810630814613114,2.0,32.0,4.631182094741416
18.0,38.0,69.26678141135974,1.0,34.0,2.4940507436570423
18.0,30.0,15.797602150537632,9.0,31.0,10.864071190211348
18.0,32.0,13.386855736855741,8.0,37.0,5.194457640538401
11.0,32.0,3.7837470907680366,15.0,27.0,1.811406969099277
6.0,38.0,29.955134932533745,13.0,36.0,1.1280167890870931
18.0,33.0,25.795203189300384,11.0,38.0,4.975017289073305
18.0,31.0,2.9289286866731206,8.0,33.0,9.916952380952381
18.0,33.0,10.452644900025309,10.0,31.0,11.09761186525892
4.0,32.0,13.710592592592606,2.0,31.0,4.959473150962513
16.0,30.0,7.823390934134735,14.0,27.0,8.35430393198725
18.0,33.0,16.817136752136754,6.0,28.0,5.5992637215528775
18.0,34.0,8.056181772023352,3.0,29.0,6.069230769230768
18.0,33.0,3.1184169278996863,15.0,27.0,7.547674851190477
18.0,32.0,20.68887889688249,15.0,31.0,13.634348290598288
18.0,41.0,16.559414634146346,9.0,29.0,12.86478365384616
18.0,36.0,6.662140804597702,12.0,28.0,7.87594884488449
18.0,38.0,5.719659982563207,15.0,28.0,1.9550692106247665
18.0,31.0,14.547405452946348,1.0,26.0,6.508914100486224
18.0,28.0,5.235426929392447,0.0,36.0,4.4697456492637215
18.0,34.0,7.120777777777777,8.0,37.0,13.031946472019474
14.0,33.0,6.5076,4.0,27.0,6.008474099099099
18.0,30.0,5.414028436018956,1.0,30.0,8.822527472527474
18.0,29.0,18.602507374631266,8.0,35.0,8.77204861111111
18.0,33.0,2.012358616101131,11.0,29.0,3.33076203833567
18.0,29.0,10.40903337169159,7.0,33.0,6.378842975206611
18.0,31.0,17.987730061349694,8.0,26.0,2.775719518576662
14.0,35.0,4.241629955947137,0.0,26.0,8.10701581027668
18.0,28.0,3.240556120718888,8.0,27.0,4.936173633440513
18.0,32.0,7.403959575878064,10.0,26.0,5.658333333333332
6.0,27.0,1.8845238095238095,1.0,27.0,4.963141683778233
18.0,28.0,13.952227891156465,8.0,32.0,4.75263768115942
18.0,37.0,7.894438346139771,17.0,34.0,12.102989000478239
18.0,33.0,5.688861985472155,13.0,28.0,4.142505910165484
18.0,31.0,6.481550218340612,7.0,34.0,11.39804662885948
18.0,27.0,18.369190654985395,1.0,36.0,19.243467933491686
18.0,32.0,12.998473812001388,8.0,28.0,3.931807301017357
18.0,34.0,56.16296296296296,15.0,27.0,3.0393962455606283
18.0,27.0,12.994455887401303,12.0,30.0,15.826402373247033
18.0,27.0,14.228306010928963,8.0,33.0,6.444902386117136
18.0,27.0,3.260694444444445,1.0,26.0,1.9800197823936696
18.0,27.0,10.41854143232096,0.0,26.0,7.772779519331245
18.0,27.0,7.775208855472014,10.0,31.0,7.169373219373218
18.0,34.0,9.268508158508158,13.0,26.0,5.921444823663252
18.0,32.0,5.042259083728276,8.0,32.0,1.1782771535580523
18.0,29.0,2.2485731272294887,10.0,34.0,13.313900000000004
18.0,37.0,2.306931144550843,13.0,31.0,0.39874686716791974
18.0,27.0,7.912173913043478,1.0,25.0,2.4438751472320366
2.0,28.0,5.889155470249518,4.0,28.0,9.061195542046606
9.0,37.0,7.379087552742617,4.0,26.0,9.669054878048781
18.0,27.0,3.2776563838903168,3.0,26.0,9.036331300813009
18.0,29.0,1.3198412698412698,0.0,26.0,5.535084306095981
18.0,30.0,8.167414965986396,8.0,25.0,10.719587227414333
18.0,32.0,1.2272300469483568,0.0,26.0,4.831653746770023
18.0,26.0,3.685977011494253,13.0,35.0,6.05618948824343
18.0,29.0,9.479400749063668,10.0,27.0,5.9678021978021984
11.0,28.0,1.2119260584376863,12.0,26.0,11.076773383553043
18.0,27.0,2.5277857829010566,7.0,27.0,3.681149097815765
18.0,27.0,10.56129129129129,1.0,25.0,2.3292317708333328
18.0,28.0,9.021184062850729,9.0,31.0,3.5944047619047623
2.0,27.0,10.85727969348659,16.0,27.0,5.608720596672403
18.0,28.0,7.871821821821821,11.0,30.0,1.5461336336336335
18.0,28.0,24.872159447583172,4.0,33.0,2.5337342497136315
18.0,26.0,12.106089743589743,3.0,31.0,3.589090909090909
18.0,28.0,2.1526976495726493,0.0,31.0,1.5501543209876543
18.0,25.0,12.693684210526314,3.0,29.0,4.384558823529411
18.0,28.0,8.831050955414014,7.0,27.0,3.5548780487804876
18.0,25.0,0.9393246187363838,6.0,25.0,5.081761006289308
1.0,26.0,6.601637426900584,12.0,30.0,9.41643990929705
18.0,26.0,5.572244355909694,6.0,32.0,1.843806306306306
18.0,25.0,10.608980855855856,15.0,28.0,3.8673928830791575
18.0,26.0,6.441584967320261,5.0,28.0,6.1789828431372555
